mag,ci,x,y,z
-1.44,0.009,-0.494323,2.476731,-0.758485
-0.62,0.164,-5.992679,57.132034,-75.396105
-0.05,1.239,-8.823448,-5.932531,3.698938
-0.01,0.71,-0.495203,-0.414084,-1.156625
0.03,-0.001,0.960565,-5.908009,4.809731
0.08,0.795,1.712633,8.954439,9.440007
0.18,-0.03,51.601106,256.709905,-37.740051
0.4,0.432,-1.469312,3.17617,0.320024
0.45,-0.158,21.065573,9.568417,-35.951967
0.45,1.5,3.189296,151.364387,19.682142
0.61,-0.231,-50.954051,-30.56287,-104.478695
0.76,0.221,2.355468,-4.4873,0.790749
0.77,-0.243,-44.363755,-5.171957,-88.034513
0.87,1.538,7.02722,18.287604,5.806661
0.96,,1.689045,8.828648,9.308413
0.98,-0.235,-69.990853,-27.285826,-14.82176
1.06,1.865,-58.542602,-140.307591,-75.574766
1.16,0.991,-4.055465,8.19518,4.867171
1.17,0.145,6.450517,-1.799476,-3.807757
1.25,-0.238,-42.168771,-8.909619,-73.723149
1.25,0.092,197.250632,-232.113407,307.600832
1.35,0.9,-0.495181,-0.413973,-1.156674
1.36,-0.087,-21.018857,11.132218,5.041397
1.5,-0.211,-27.497987,105.141608,-60.171969
1.58,0.034,-5.311938,12.130011,8.238737
1.59,1.6,-14.606901,-1.998688,-22.800748
1.62,-0.231,-16.048583,-138.749793,-105.649898
1.64,-0.224,11.658576,76.036136,8.56012
1.65,-0.13,5.281578,35.6504,19.655456
1.67,0.07,-8.980712,8.001552,-32.546536
1.69,-0.184,62.775122,602.66691,-12.712683
1.73,-0.07,18.672505,-9.904001,-22.635193
1.74,-0.199,18.918488,224.809409,-7.651875
1.75,-0.145,-124.300149,195.993257,-251.831601
1.76,-0.022,-13.775959,-3.309169,20.972944
1.79,0.481,62.885098,77.880689,118.708804
1.79,-0.031,3.817188,-36.057831,-24.812975
1.81,1.061,-17.298705,4.33488,33.191332
1.83,0.671,-129.733458,421.761488,-218.979855
1.85,-0.099,-18.529548,-9.394541,24.164506
1.86,1.196,-54.83708,76.515238,-159.872623
1.86,0.406,-6.654055,-67.016643,-62.796539
1.9,0.077,0.036195,17.601288,17.569058
1.91,1.447,-13.127447,-40.804561,-111.826781
1.93,0.001,-5.266162,31.714389,9.461403
1.93,0.043,-9.394033,10.739813,-20.158771
1.94,-0.118,17.850262,-24.200974,-45.841245
1.97,0.636,1.3431,1.047629,132.614909
1.98,-0.24,-14.209731,142.995999,-46.568852
1.99,1.44,-43.003468,33.722848,-8.322089
2.01,1.151,15.731986,9.751722,8.03361
2.01,1.128,-34.002797,15.860719,13.53874
2.04,1.019,27.583638,5.310463,-9.119792
2.05,-0.134,14.950858,-60.794062,-30.937099
2.06,1.011,-12.358808,-7.624204,-10.694288
2.07,-0.038,25.974572,0.951042,14.461264
2.07,1.576,46.946371,14.741814,35.255129
2.07,-0.168,10.444137,195.314937,-33.326707
2.07,1.465,-8.058164,-7.429707,38.619407
2.07,1.61,34.993484,-12.277259,-39.608199
2.08,0.155,-1.587067,-14.453242,3.239454
2.09,-0.003,14.189428,15.238793,18.072114
2.1,1.37,76.368059,45.840864,81.131974
2.14,0.09,-10.633926,0.508011,2.767546
2.15,-0.046,79.836717,20.168018,146.837047
2.2,-0.023,-25.771821,-4.720403,-30.097707
2.21,-0.269,-130.674899,218.376203,-213.564535
2.21,0.189,-90.887872,78.251756,-201.791538
2.22,0.032,-12.176093,-16.558746,10.343974
2.23,1.665,-88.662596,82.682121,-114.774841
2.23,0.057,-14.115808,-5.413302,21.531272
2.23,0.673,249.318228,-348.795593,363.040966
2.24,1.17,37.984817,6.784483,58.379619
2.24,1.521,-0.436154,-29.451035,37.014357
2.25,-0.175,25.868117,210.729667,-1.108306
2.28,0.38,8.600014,0.344589,14.409503
2.29,-0.171,-70.726493,-32.9381,-105.309044
2.29,-0.117,-69.332609,-120.492107,-57.928452
2.29,1.144,-4.842163,-15.39568,-11.006616
2.3,-0.154,-73.354913,-62.611867,-104.837277
2.33,-0.157,-54.086167,-43.605833,-62.903
2.34,0.033,-13.103033,3.398358,20.360601
2.35,0.966,-41.582771,-36.462926,28.269741
2.38,1.52,172.769915,-116.330918,36.25782
2.39,-0.171,-8.785101,-114.747994,-93.292778
2.4,1.083,19.083654,2.198282,-17.483284
2.41,0.044,-15.094867,0.406425,20.552678
2.43,0.059,-5.602493,-25.470005,-7.342684
2.44,1.655,51.433435,-12.877612,28.290136
2.45,-0.083,-190.762166,496.337122,-298.432917
2.45,0.257,5.276111,-4.483201,13.348778
2.47,-0.141,-77.65777,63.951481,-143.729782
2.48,1.021,12.262597,-13.834612,12.455654
2.49,-0.002,38.311434,-9.417123,10.722722
2.54,1.63,53.342561,54.414384,5.448321
2.54,0.038,-39.017319,-103.200447,-20.582092
2.55,-0.176,-69.545858,-38.36753,-86.039492
2.56,0.128,-16.442201,3.337108,6.280742
2.56,-0.065,-55.881427,-102.320756,-41.98604
2.58,0.211,76.877195,643.047236,-208.208
2.58,-0.128,-80.490795,-2.936809,-98.48459
2.58,-0.107,-44.805937,-3.095058,-14.197066
2.6,0.062,6.326274,-22.577554,-13.471863
2.61,-0.071,-36.549398,-42.420251,-9.252607
2.63,1.167,-12.5786,-18.695648,2.537718
2.64,0.165,14.752622,8.063457,6.389157
2.65,-0.12,5.885917,66.110037,-44.89318
2.65,-0.083,0.049188,40.426416,30.69934
2.65,0.893,-40.529889,-6.127261,-17.73539
2.66,0.16,14.082378,5.53413,26.457567
2.68,0.58,-9.487671,-5.188142,3.596709
2.68,-0.184,-60.951955,-60.176134,-80.247234
2.69,1.49,34.378539,121.884168,82.763748
2.69,0.901,-22.183186,7.339648,-27.280949
2.69,-0.176,-33.992375,-5.563974,-90.370102
2.7,-0.179,-17.880984,-139.40881,-107.054828
2.71,1.616,-65.206299,186.349551,-149.300305
2.72,1.38,8.460232,-92.098382,-53.027575
2.72,1.507,53.215608,-106.431852,22.297682
2.73,1.584,-23.290749,-46.890988,-3.380547
2.73,0.91,-5.477258,-12.300885,24.814526
2.74,-0.22,-56.980945,19.910719,-125.948607
2.74,0.368,-11.488622,-2.111702,-0.295552
2.75,-0.21,76.014147,706.411475,-73.54604
2.75,0.068,-13.562569,-4.976416,-10.773082
2.75,0.147,-16.408581,-15.151818,-6.421874
2.76,1.168,-1.802333,-24.949291,1.998237
2.78,0.161,6.156194,26.585876,-2.429001
2.78,0.947,-15.155861,-36.689058,15.62843
2.78,1.164,-20.995512,-104.709944,27.400863
2.79,-0.193,-54.778605,-3.62525,-90.466
2.79,0.954,-9.169333,-70.678899,92.218765
2.8,-0.216,-57.388809,-78.369378,-84.935884
2.81,0.807,6.349344,45.531613,-17.425966
2.81,0.65,-3.073152,-8.593139,5.615032
2.82,0.618,1.635267,0.184517,-7.275205
2.82,-0.206,-45.960032,-119.546841,-68.7205
2.82,1.025,2.635486,-21.487046,-10.289309
2.83,-0.19,115.664183,6.687324,31.442127
2.83,0.458,-9.379037,15.076242,-8.018549
2.83,0.315,-2.869157,-4.734869,-11.070637
2.84,0.271,102.130978,166.878316,121.704179
2.84,1.479,-16.904234,-110.792345,-163.251778
